Table QS210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011 Census: Religion (detailed), Middle Layer Super Output Areas (MSOAs) and Lower Layer Super Output Areas (LSOAs) in England and Wales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"London boroughs, unitary authorities and districts in England; unitary authorities in Wales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All usual residents, Numbers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region code,Region name,Local authority code,Local authority name,,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
,,,,,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,Other religion: Animism,Other religion: Baha'i,Other religion: Believe in God,Other religion: Brahma Kumari,Other religion: Chinese Religion,Other religion: Church of All Religion,Other religion: Confucianist,Other religion: Deist,Other religion: Druid,Other religion: Druze,Other religion: Eckankar,Other religion: Heathen,Other religion: Jain,Other religion: Mixed Religion,Other religion: Mysticism,Other religion: Native American Church,Other religion: New Age,Other religion: Occult,Other religion: Own Belief System,Other religion: Pagan,Other religion: Pantheism,Other religion: Rastafarian,Other religion: Ravidassia,Other religion: Reconstructionist,Other religion: Satanism,Other religion: Scientology,Other religion: Shamanism,Other religion: Shintoism,Other religion: Spiritual,Other religion: Spiritualist,Other religion: Taoist,Other religion: Theism,Other religion: Thelemite,Other religion: Traditional African Religion,Other religion: Unification Church,Other religion: Universalist,Other religion: Vodun,Other religion: Wicca,Other religion: Witchcraft,Other religion: Zoroastrian,Other religion: Other religions,No religion: Total,No religion: No religion,No religion: Agnostic,No religion: Atheist,No religion: Free Thinker,No religion: Heavy Metal,No religion: Humanist,No religion: Jedi Knight,No religion: Realist,Religion not stated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,E06000047,County Durham UA,,"513,242","369,715","1,001",607,208,"1,934",609,"1,525",5,33,19,0,2,3,1,6,31,0,0,19,3,73,4,0,5,2,15,386,16,24,0,1,31,6,2,7,46,555,28,7,0,0,1,4,3,91,9,21,66,"107,281","105,468",188,201,4,34,136,"1,248",2,"30,362"
E12000001,NORTH EAST,E06000005,Darlington UA,,"105,564","71,122",307,317,45,971,361,310,2,7,8,0,0,0,0,1,2,0,0,0,3,23,0,0,0,2,1,113,4,9,0,0,3,3,1,2,19,68,3,1,1,0,0,1,0,21,1,0,11,"25,415","24,977",56,43,4,9,25,301,0,"6,716"
E12000001,NORTH EAST,E06000001,Hartlepool UA,,"92,028","64,349",152,168,9,689,97,178,1,1,1,0,0,0,0,0,5,0,0,1,0,20,2,1,2,0,4,44,1,1,0,0,2,1,0,1,4,50,0,1,0,0,0,2,1,11,2,4,15,"20,507","20,217",34,38,0,5,15,198,0,"5,879"
E12000001,NORTH EAST,E06000002,Middlesbrough UA,,"138,412","87,511",370,591,45,"9,757",564,246,0,2,4,0,1,0,3,5,5,0,1,3,2,9,0,0,0,0,0,59,3,9,0,1,5,1,1,0,7,63,3,2,0,1,0,0,0,31,1,7,17,"30,797","30,340",53,46,1,10,16,331,0,"8,531"
E12000001,NORTH EAST,E06000048,Northumberland UA,,"316,028","216,673",578,335,169,"1,018",494,980,1,19,6,0,1,1,2,3,18,1,4,13,6,85,1,1,1,1,4,286,10,17,1,1,13,4,6,0,57,273,22,2,1,2,0,3,0,64,3,1,46,"75,620","74,515",127,113,2,23,100,739,1,"20,161"
E12000001,NORTH EAST,E06000003,Redcar and Cleveland UA,,"135,177","95,111",187,64,33,598,43,362,1,2,2,0,0,0,0,0,9,0,0,3,3,38,0,1,0,1,4,123,3,4,0,0,6,2,1,0,23,87,12,1,0,0,0,1,0,19,2,3,11,"30,054","29,602",44,51,0,3,34,320,0,"8,725"
E12000001,NORTH EAST,E06000004,Stockton-on-Tees UA,,"191,610","130,723",388,675,94,"4,143",625,382,2,1,8,1,0,1,0,2,11,0,2,4,7,27,0,0,2,0,3,110,6,9,3,0,7,3,1,1,15,98,6,4,0,0,0,0,1,20,4,6,17,"42,910","42,247",76,62,2,15,36,472,0,"11,670"
E12000001,NORTH EAST,E08000020,Gateshead,,"200,214","134,075",423,497,"3,004","2,096",356,529,2,12,5,1,0,0,1,5,7,0,0,7,0,30,0,2,6,1,6,131,5,16,0,0,4,6,2,1,35,166,12,2,0,0,0,1,0,34,3,2,24,"47,758","47,067",76,79,2,10,44,480,0,"11,476"
E12000001,NORTH EAST,E08000021,Newcastle upon Tyne,,"280,177","158,138","1,701","3,144",671,"17,561","1,223",755,0,31,11,0,5,3,1,7,8,1,1,10,9,38,0,1,0,7,6,202,9,31,1,0,8,20,3,5,33,135,26,3,0,3,6,3,2,54,3,21,48,"79,345","77,785",201,191,2,28,73,"1,065",0,"17,639"
E12000001,NORTH EAST,E08000022,North Tyneside,,"200,801","128,185",436,513,92,"1,493",354,528,0,17,2,0,0,0,1,0,12,0,1,8,3,38,0,0,2,0,9,117,4,14,0,0,12,1,1,2,39,161,5,1,0,1,0,2,2,35,3,9,26,"56,408","55,472",93,102,0,19,75,646,1,"12,792"
E12000001,NORTH EAST,E08000023,South Tyneside,,"148,127","104,090",223,254,57,"2,854",424,362,0,0,2,0,0,0,1,1,10,0,0,3,0,32,0,0,0,1,6,89,1,2,0,0,2,10,0,1,21,111,11,0,1,0,0,0,0,26,2,6,23,"31,247","30,734",46,51,0,5,32,379,0,"8,616"
E12000001,NORTH EAST,E08000024,Sunderland,,"275,506","193,642",550,607,76,"3,650",814,511,5,6,5,0,0,2,0,0,14,0,0,1,6,23,0,0,2,0,5,142,4,13,0,2,7,5,0,3,18,152,7,3,1,1,0,2,0,50,3,3,26,"60,358","59,574",100,66,3,19,26,570,0,"15,298"
E12000002,NORTH WEST,E06000008,Blackburn with Darwen UA,,"147,489","77,599",306,574,54,"39,817",161,295,0,3,5,0,0,0,0,2,9,1,0,1,15,20,0,0,0,0,1,64,2,6,0,0,4,0,0,2,7,78,7,0,0,1,0,0,2,26,3,15,21,"20,374","20,009",35,51,0,14,22,243,0,"8,309"
E12000002,NORTH WEST,E06000009,Blackpool UA,,"142,065","95,426",450,337,252,"1,061",61,571,4,4,4,0,0,1,1,4,7,0,2,2,1,22,0,0,1,2,8,155,9,16,1,0,9,1,1,2,21,209,5,1,0,0,0,0,0,45,5,1,27,"34,815","34,188",67,45,1,11,29,474,0,"9,092"
E12000002,NORTH WEST,E06000049,Cheshire East UA,,"370,127","254,940",882,"1,328",581,"2,438",279,"1,065",2,23,13,0,0,0,1,3,23,0,5,16,32,145,3,2,2,2,7,260,10,15,1,0,3,21,3,5,85,209,15,3,0,2,0,8,1,49,6,22,68,"83,973","82,457",185,159,6,38,94,"1,033",1,"24,641"
E12000002,NORTH WEST,E06000050,Cheshire West and Chester UA,,"329,608","231,126",776,653,250,"1,686",195,854,1,29,6,0,0,1,0,2,23,0,0,7,11,105,2,1,6,1,11,251,8,17,1,1,7,8,1,3,53,152,19,5,0,0,0,7,0,58,5,7,45,"72,649","71,250",169,136,1,47,93,949,4,"21,419"
E12000002,NORTH WEST,E06000006,Halton UA,,"125,746","94,314",216,194,44,267,55,303,0,1,4,0,0,0,0,0,5,0,0,9,0,24,1,0,1,2,1,96,1,3,0,0,2,5,0,1,17,72,3,0,0,2,0,0,0,27,1,1,24,"23,543","23,074",33,52,2,21,11,350,0,"6,810"
E12000002,NORTH WEST,E06000007,Warrington UA,,"202,228","144,405",457,"1,118",147,"2,097",361,513,0,8,4,0,0,0,0,2,7,0,3,5,9,36,1,0,1,1,2,180,6,12,0,0,3,12,1,1,19,120,8,3,0,3,0,1,0,39,2,1,23,"41,293","40,530",65,69,2,52,29,545,1,"11,837"
E12000002,NORTH WEST,E07000026,Allerdale,,"96,422","72,716",183,39,19,192,9,228,0,2,3,0,0,0,0,2,8,0,1,4,0,31,0,0,1,0,2,72,3,3,0,0,1,6,1,0,12,31,10,1,2,0,0,1,0,18,0,0,13,"16,677","16,373",36,36,1,19,21,189,2,"6,359"
E12000002,NORTH WEST,E07000027,Barrow-in-Furness,,"69,087","48,830",150,101,15,172,7,167,0,0,4,0,0,1,0,0,2,0,0,0,1,13,0,0,0,2,1,44,1,4,0,0,1,1,0,0,13,46,2,2,0,0,0,0,0,15,4,1,9,"15,252","14,997",29,25,0,3,5,192,1,"4,393"
E12000002,NORTH WEST,E07000028,Carlisle,,"107,524","74,296",277,241,17,455,27,279,1,5,4,4,0,0,0,1,4,0,0,1,3,33,0,0,7,1,4,93,3,7,0,0,3,1,3,1,18,37,3,0,0,2,2,2,0,15,2,2,17,"24,626","24,142",43,50,0,28,22,341,0,"7,306"
E12000002,NORTH WEST,E07000029,Copeland,,"70,603","55,687",148,81,17,227,8,146,0,0,0,0,0,0,0,0,3,0,0,2,4,18,0,0,0,0,0,62,0,3,0,0,3,0,0,1,7,18,2,0,0,0,0,1,0,13,2,0,7,"10,147","9,921",21,17,0,20,5,162,1,"4,142"
E12000002,NORTH WEST,E07000030,Eden,,"52,564","37,165",130,42,31,115,6,156,2,3,1,0,0,0,0,1,3,0,0,2,0,15,0,0,6,0,2,58,3,3,0,0,0,1,1,0,9,17,7,0,0,0,0,2,0,11,3,1,5,"10,882","10,661",23,27,0,6,19,146,0,"4,037"
E12000002,NORTH WEST,E07000031,South Lakeland,,"103,658","70,541",465,55,104,175,7,388,4,11,4,0,0,1,0,4,13,0,0,3,0,99,1,0,2,0,6,86,12,12,0,0,1,0,1,0,17,44,8,1,2,0,0,4,0,28,0,6,18,"23,912","23,482",57,62,0,4,48,258,1,"8,011"
E12000002,NORTH WEST,E08000001,Bolton,,"276,786","173,608",574,"5,988",174,"32,385",118,721,1,6,14,2,0,0,0,1,28,11,1,8,18,46,0,0,1,2,11,181,5,14,0,0,1,5,0,1,35,197,27,1,0,0,6,0,0,38,0,3,57,"47,567","46,543",93,81,11,92,49,698,0,"15,651"
E12000002,NORTH WEST,E08000002,Bury,,"185,060","116,036",453,817,"10,302","11,279",301,422,0,9,2,0,0,0,0,3,10,0,0,9,6,38,1,0,1,1,1,116,6,10,2,1,5,15,0,0,27,105,4,2,0,0,1,2,1,27,1,1,15,"34,381","33,673",73,83,0,42,34,476,0,"11,069"
E12000002,NORTH WEST,E08000003,Manchester,,"503,127","245,247","3,879","5,452","2,613","79,496","2,292","1,889",9,48,42,0,11,6,5,18,20,0,6,14,129,130,3,0,2,11,19,378,24,123,17,0,26,52,2,10,145,191,64,13,4,12,2,12,6,86,10,58,181,"127,485","124,331",422,480,3,150,149,"1,946",4,"34,774"
E12000002,NORTH WEST,E08000004,Oldham ,,"224,897","134,167",371,"1,233",108,"39,879",70,406,0,4,1,0,0,3,0,2,9,0,0,8,9,21,0,0,0,3,2,113,1,23,0,0,2,1,1,0,23,96,3,1,2,0,0,8,0,38,3,2,27,"36,169","35,459",65,58,2,59,30,496,0,"12,494"
E12000002,NORTH WEST,E08000005,Rochdale,,"211,699","128,186",403,642,216,"29,426",71,430,0,9,3,0,0,3,0,1,14,1,0,6,4,33,0,0,1,1,1,111,3,11,0,1,3,6,2,0,20,114,6,0,4,2,0,1,1,36,2,6,24,"40,014","39,300",45,63,3,51,20,532,0,"12,311"
E12000002,NORTH WEST,E08000006,Salford,,"233,933","150,111","1,040","1,504","7,687","6,030",324,691,0,20,10,0,0,0,0,5,15,0,5,5,13,66,0,1,3,0,5,188,10,28,0,0,6,11,1,4,39,128,14,2,1,0,0,4,6,40,2,5,54,"52,105","51,075",129,103,4,73,34,687,0,"14,441"
E12000002,NORTH WEST,E08000007,Stockport,,"283,275","179,055",853,"1,666","1,340","9,431",330,964,1,45,16,0,1,1,0,2,8,0,0,7,207,78,1,0,3,1,10,213,5,15,0,1,10,8,3,4,46,126,12,6,0,1,5,2,0,54,10,18,44,"71,126","69,832",140,145,6,71,60,870,2,"18,510"
E12000002,NORTH WEST,E08000008,Tameside,,"219,324","140,322",511,"3,223",89,"9,705",102,651,0,9,5,1,0,1,0,6,10,0,0,9,14,47,0,0,3,2,5,214,10,20,0,0,7,12,4,1,27,148,11,4,0,0,1,2,0,45,5,6,22,"51,674","50,806",61,77,1,90,24,615,0,"13,047"
E12000002,NORTH WEST,E08000009,Trafford,,"226,578","143,639",768,"2,271","2,413","12,994","1,652",566,0,39,24,2,0,1,1,3,4,0,0,13,28,60,1,0,2,2,4,116,5,24,0,0,8,3,3,3,40,76,9,3,1,1,2,5,1,30,5,8,39,"47,968","47,051",96,102,0,68,58,593,0,"14,307"
E12000002,NORTH WEST,E08000010,Wigan,,"317,849","247,223",703,682,71,"2,162",62,689,0,5,6,0,0,0,0,3,11,0,1,8,2,39,0,0,2,1,6,257,11,16,1,0,8,10,5,2,32,146,16,1,0,2,0,2,1,57,5,7,26,"48,640","47,688",77,87,1,72,33,682,0,"17,617"
E12000002,NORTH WEST,E07000117,Burnley,,"87,059","55,399",192,175,14,"8,580",33,236,0,10,2,0,0,1,0,1,4,0,0,2,0,6,0,0,2,0,1,79,3,8,0,2,2,0,0,0,12,63,2,2,1,0,0,1,0,21,0,1,10,"17,178","16,905",31,28,0,9,14,191,0,"5,252"
E12000002,NORTH WEST,E07000118,Chorley,,"107,155","80,732",275,196,45,"1,130",18,337,0,1,2,0,1,0,0,0,11,0,0,8,7,39,0,1,1,0,0,99,4,14,0,0,2,4,2,0,20,64,4,0,3,0,0,1,1,20,4,1,23,"18,418","18,017",50,35,0,18,28,269,1,"6,004"
E12000002,NORTH WEST,E07000119,Fylde,,"75,757","55,843",196,175,322,350,39,228,0,0,4,0,0,0,0,0,8,0,0,2,1,23,0,0,0,1,2,61,2,3,0,1,9,1,0,0,12,64,0,0,0,0,0,0,0,22,1,2,9,"13,870","13,509",41,26,3,9,24,258,0,"4,734"
E12000002,NORTH WEST,E07000120,Hyndburn,,"80,734","53,602",162,70,7,"8,336",38,249,0,1,2,0,0,0,0,0,7,0,0,3,0,5,0,2,0,0,1,81,1,6,7,0,0,4,1,0,15,63,6,3,3,1,0,1,0,19,1,0,16,"13,700","13,468",18,21,0,9,10,174,0,"4,570"
E12000002,NORTH WEST,E07000121,Lancaster,,"138,375","91,124",540,446,119,"1,767",100,658,2,14,5,0,0,1,0,7,18,0,0,18,5,51,0,0,3,1,5,250,16,13,0,1,1,6,4,0,20,98,20,6,0,0,0,1,1,48,3,2,38,"33,833","33,018",124,115,3,29,60,481,3,"9,788"
E12000002,NORTH WEST,E07000122,Pendle,,"89,452","48,043",224,91,36,"15,579",9,334,0,22,5,0,0,0,0,1,6,0,0,0,0,42,0,0,0,1,0,86,3,7,0,0,9,3,2,0,21,71,6,0,0,0,0,1,1,19,4,0,24,"19,573","19,261",30,21,0,2,12,247,0,"5,563"
E12000002,NORTH WEST,E07000123,Preston,,"140,202","85,518",385,"3,338",60,"15,769",930,428,0,14,7,1,0,0,0,1,10,0,0,4,11,31,1,1,1,2,1,144,4,17,0,1,5,3,2,0,19,73,12,0,0,0,0,0,0,25,1,4,33,"25,754","25,150",66,60,0,37,27,414,0,"8,020"
E12000002,NORTH WEST,E07000124,Ribble Valley,,"57,132","44,627",88,99,10,425,41,139,0,1,0,0,0,0,0,1,3,0,0,2,2,28,0,0,0,0,1,21,2,5,0,0,1,0,0,0,9,38,4,0,0,0,0,0,0,10,3,0,8,"8,299","8,079",20,26,0,1,21,152,0,"3,404"
E12000002,NORTH WEST,E07000125,Rossendale,,"67,982","43,392",163,96,67,"2,613",9,231,1,1,3,0,0,0,0,1,4,0,0,10,0,11,0,0,0,0,4,68,5,2,0,0,2,5,0,1,11,68,3,1,0,0,0,1,0,13,0,1,15,"17,095","16,742",41,37,0,16,24,235,0,"4,316"
E12000002,NORTH WEST,E07000126,South Ribble,,"109,057","82,547",206,556,48,592,75,284,0,3,0,0,0,0,0,1,9,0,0,1,0,39,0,0,1,0,5,100,0,7,0,0,4,2,1,0,9,59,6,3,1,2,0,0,0,17,4,0,10,"18,487","18,122",48,45,2,12,21,237,0,"6,262"
E12000002,NORTH WEST,E07000127,West Lancashire,,"110,685","84,337",141,229,62,276,87,216,0,0,4,0,0,0,0,4,9,0,1,2,0,23,0,0,2,0,1,59,3,4,0,0,2,2,0,1,13,42,7,0,0,0,0,5,0,14,2,0,16,"19,029","18,659",41,43,0,10,20,256,0,"6,308"
E12000002,NORTH WEST,E07000128,Wyre,,"107,749","80,346",220,161,69,305,25,342,0,3,1,0,0,0,0,1,5,0,0,5,1,39,2,1,2,0,1,82,3,3,0,0,2,2,1,2,12,125,4,1,0,0,0,0,1,25,3,0,15,"19,210","18,911",33,35,0,4,19,208,0,"7,071"
E12000002,NORTH WEST,E08000011,Knowsley ,,"145,893","117,991",165,266,58,435,37,167,1,3,1,0,0,0,0,0,5,0,1,3,0,8,0,0,0,0,1,60,0,2,2,1,2,2,0,0,13,27,1,2,1,1,0,2,0,16,0,0,12,"18,439","18,177",25,36,2,7,12,180,0,"8,335"
E12000002,NORTH WEST,E08000012,Liverpool,,"466,415","331,217","2,017","2,437","2,157","15,209",531,"1,122",1,31,25,0,5,3,1,19,34,2,0,8,12,98,1,0,4,8,5,315,14,75,1,2,27,11,6,3,70,121,18,7,0,6,0,8,1,76,8,17,79,"82,701","80,656",238,276,4,50,77,"1,398",2,"29,024"
E12000002,NORTH WEST,E08000014,Sefton,,"273,790","210,184",504,525,486,"1,189",105,568,0,10,3,0,1,0,1,3,13,2,0,8,1,36,0,1,1,0,3,183,5,19,0,1,8,1,3,0,20,130,10,3,1,0,0,0,1,57,3,1,39,"43,196","42,296",116,90,0,16,54,623,1,"17,033"
E12000002,NORTH WEST,E08000013,St. Helens,,"175,308","138,172",317,416,48,605,46,403,0,8,1,0,0,0,0,5,6,0,0,8,4,20,2,0,0,1,15,108,3,6,0,0,8,6,2,4,16,106,9,2,0,0,0,3,1,33,3,1,22,"25,653","25,118",39,51,1,26,26,391,1,"9,648"
E12000002,NORTH WEST,E08000015,Wirral,,"319,783","225,147",905,742,265,"1,809",236,830,1,5,7,2,0,2,0,7,16,0,0,7,4,87,0,0,4,1,7,246,9,14,0,1,18,2,3,3,77,170,13,4,0,1,0,5,2,61,4,9,38,"68,209","66,897",141,143,2,24,89,909,4,"21,640"
E12000003,YORKSHIRE AND THE HUMBER,E06000011,East Riding of Yorkshire UA,,"334,179","227,343",702,607,337,"1,309",174,863,2,6,11,0,0,2,2,3,16,0,0,11,9,80,0,0,2,2,7,285,13,12,4,1,7,14,1,3,56,171,5,5,0,0,0,3,0,67,8,5,50,"78,296","77,051",133,140,3,24,79,864,2,"24,548"
E12000003,YORKSHIRE AND THE HUMBER,E06000010,"Kingston upon Hull, City of UA",,"256,406","140,753",771,439,172,"5,447",289,794,0,8,7,0,0,1,0,3,16,0,0,10,12,43,0,0,1,2,8,304,12,15,2,0,20,4,7,1,40,112,14,1,1,1,0,1,1,84,4,3,56,"89,336","88,009",144,154,6,41,46,935,1,"18,405"
E12000003,YORKSHIRE AND THE HUMBER,E06000012,North East Lincolnshire UA,,"159,616","96,836",347,386,64,"1,332",158,533,1,4,9,0,0,2,0,1,17,2,0,7,3,55,0,0,0,2,4,166,4,13,0,0,4,7,0,0,22,125,6,0,0,1,0,3,0,52,1,3,19,"48,476","47,683",75,47,0,18,28,624,1,"11,484"
E12000003,YORKSHIRE AND THE HUMBER,E06000013,North Lincolnshire UA,,"167,446","110,554",381,445,48,"3,024",538,417,1,10,5,0,0,1,0,0,15,1,0,3,4,32,0,0,3,3,7,145,1,7,1,2,5,2,0,4,13,74,4,0,0,0,0,3,0,27,16,2,26,"40,176","39,570",62,64,0,15,33,431,1,"11,863"
E12000003,YORKSHIRE AND THE HUMBER,E06000014,York UA,,"198,051","117,856","1,016",983,202,"2,072",133,747,0,18,9,1,1,0,0,4,9,0,4,10,9,79,0,0,1,4,4,241,12,26,2,1,13,3,7,4,37,102,27,8,0,2,0,3,0,43,9,5,49,"59,646","58,403",211,171,4,33,73,750,1,"15,396"
E12000003,YORKSHIRE AND THE HUMBER,E07000163,Craven,,"55,409","37,301",134,65,16,506,34,187,2,3,2,0,0,0,0,1,4,0,0,2,2,25,1,0,0,1,2,67,7,3,0,0,0,0,0,1,9,24,6,2,0,1,0,1,0,10,0,2,9,"12,935","12,689",35,25,0,1,28,157,0,"4,231"
E12000003,YORKSHIRE AND THE HUMBER,E07000164,Hambleton,,"89,140","64,692",135,93,45,234,5,223,0,3,1,0,0,0,0,0,11,0,2,8,1,35,0,0,3,1,1,80,5,5,0,0,2,2,2,0,10,20,1,2,0,1,0,1,0,8,2,0,16,"17,652","17,392",43,35,0,4,20,158,0,"6,061"
E12000003,YORKSHIRE AND THE HUMBER,E07000165,Harrogate,,"157,869","108,289",414,236,334,573,82,533,1,19,6,0,0,0,0,4,17,0,5,8,6,68,1,0,0,1,9,148,4,7,0,0,5,3,3,2,47,79,17,2,2,0,0,1,1,18,4,3,42,"36,227","35,547",97,69,0,19,65,430,0,"11,181"
